name,value
Google AdWords,101797
Pesquisa na web do Google,77146
Álbuns do Picasa,30119
YouTube,20772
Grupos do Google,7326
Blogger,4003
Orkut,3533
Aplicativos do Google Play,1031
Imagens do Google,403
Gmail,101
Google Videos,89
Google AdSense,65
Google+,54
Google+ Local,49
Pesquisa na web: Preenchimento automático,37
Panoramio,32
Google Sites,32
Android Market,28
ответы,26
Google Earth Google Maps e Panoramico,25
Google Docs,25
Google Places,21
Google Code,9
Google Maps,9
Google Livros,7
Street View,7
Perfis do Google,7
Google Shopping,6
Google Apps,5
Pesquisa na web do Google: Resultados relacionados,4
Google Acadêmico,4
Textcube,2
Google Knol,2
Google App Engine,2
Google Notas,1
Google Earth,1
Google Notícias,0
Canais do Google SMS,0
